"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE008","2018-01-01 00:00:00",1.78,1.78,1.78,51.03,51.03,51.03,0,0
"BALE008","2018-01-01 01:00:00",0.89,0.89,0.89,66.51,66.51,66.51,0,0
"BALE008","2018-01-01 02:00:00",0.39,0.39,0.39,60.95,60.95,60.95,0,0
"BALE008","2018-01-01 03:00:00",0.42,0.42,0.42,63.95,63.95,63.95,0,0
"BALE008","2018-01-01 04:00:00",-0.39,-0.39,-0.39,71.44,71.44,71.44,0,0
"BALE008","2018-01-01 05:00:00",-1.03,-1.03,-1.03,63.96,63.96,63.96,0,0
"BALE008","2018-01-01 06:00:00",-0.02,-0.02,-0.02,67.46,67.46,67.46,0,0
"BALE008","2018-01-01 07:00:00",-0.14,-0.14,-0.14,64.19,64.19,64.19,0.011,0
"BALE008","2018-01-01 08:00:00",5.5,5.5,5.5,41.99,41.99,41.99,0.177,0
"BALE008","2018-01-01 09:00:00",10.45,10.45,10.45,34.82,34.82,34.82,0.409,0
"BALE008","2018-01-01 10:00:00",11.68,11.68,11.68,29.81,29.81,29.81,0.617,0
"BALE008","2018-01-01 11:00:00",12.98,12.98,12.98,31.97,31.97,31.97,0.782,0
"BALE008","2018-01-01 12:00:00",14.39,14.39,14.39,30.41,30.41,30.41,0.884,0
"BALE008","2018-01-01 13:00:00",14.66,14.66,14.66,31.21,31.21,31.21,0.906,0
"BALE008","2018-01-01 14:00:00",14.77,14.77,14.77,31.37,31.37,31.37,0.866,0
"BALE008","2018-01-01 15:00:00",14.77,14.77,14.77,30.74,30.74,30.74,0.744,0
"BALE008","2018-01-01 16:00:00",14.33,14.33,14.33,32.93,32.93,32.93,0.553,0
"BALE008","2018-01-01 17:00:00",13.23,13.23,13.23,37.68,37.68,37.68,0.245,0
"BALE008","2018-01-01 18:00:00",10.97,10.97,10.97,39.34,39.34,39.34,0.049,0
"BALE008","2018-01-01 19:00:00",8.07,8.07,8.07,40.38,40.38,40.38,0.003,0
"BALE008","2018-01-01 20:00:00",6.24,6.24,6.24,40.9,40.9,40.9,0,0
"BALE008","2018-01-01 21:00:00",4.32,4.32,4.32,48.54,48.54,48.54,0,0
"BALE008","2018-01-01 22:00:00",3.78,3.78,3.78,50.13,50.13,50.13,0,0
"BALE008","2018-01-01 23:00:00",3.29,3.29,3.29,48.93,48.93,48.93,0,0
"BALE008","2018-01-02 00:00:00",1.88,1.88,1.88,52.97,52.97,52.97,0,0
"BALE008","2018-01-02 01:00:00",0.73,0.73,0.73,56.82,56.82,56.82,0,0
"BALE008","2018-01-02 02:00:00",1.28,1.28,1.28,59.58,59.58,59.58,0,0
"BALE008","2018-01-02 03:00:00",-0.75,-0.75,-0.75,62.96,62.96,62.96,0,0
"BALE008","2018-01-02 04:00:00",0.28,0.28,0.28,60.87,60.87,60.87,0,0
"BALE008","2018-01-02 05:00:00",-0.47,-0.47,-0.47,65.69,65.69,65.69,0,0
"BALE008","2018-01-02 06:00:00",-0.93,-0.93,-0.93,70.29,70.29,70.29,0,0
"BALE008","2018-01-02 07:00:00",-1.16,-1.16,-1.16,66.61,66.61,66.61,0.01,0
"BALE008","2018-01-02 08:00:00",4.18,4.18,4.18,42.84,42.84,42.84,0.172,0
"BALE008","2018-01-02 09:00:00",9.21,9.21,9.21,34.7,34.7,34.7,0.398,0
"BALE008","2018-01-02 10:00:00",11.6,11.6,11.6,35.22,35.22,35.22,0.606,0
"BALE008","2018-01-02 11:00:00",12.13,12.13,12.13,36.11,36.11,36.11,0.772,0
"BALE008","2018-01-02 12:00:00",12.87,12.87,12.87,33.77,33.77,33.77,0.884,0
"BALE008","2018-01-02 13:00:00",13.44,13.44,13.44,33.04,33.04,33.04,0.911,0
"BALE008","2018-01-02 14:00:00",13.92,13.92,13.92,36.2,36.2,36.2,0.863,0
"BALE008","2018-01-02 15:00:00",14.48,14.48,14.48,34.62,34.62,34.62,0.743,0
"BALE008","2018-01-02 16:00:00",14.45,14.45,14.45,34.43,34.43,34.43,0.536,0
"BALE008","2018-01-02 17:00:00",12.87,12.87,12.87,37.62,37.62,37.62,0.267,0
"BALE008","2018-01-02 18:00:00",11.84,11.84,11.84,40.34,40.34,40.34,0.155,0
"BALE008","2018-01-02 19:00:00",8.22,8.22,8.22,45.66,45.66,45.66,0.003,0
"BALE008","2018-01-02 20:00:00",7.08,7.08,7.08,45.11,45.11,45.11,0,0
"BALE008","2018-01-02 21:00:00",6.37,6.37,6.37,49,49,49,0,0
"BALE008","2018-01-02 22:00:00",5.01,5.01,5.01,53.02,53.02,53.02,0,0
"BALE008","2018-01-02 23:00:00",3.52,3.52,3.52,62.5,62.5,62.5,0,0
"BALE008","2018-01-03 00:00:00",2.08,2.08,2.08,67.01,67.01,67.01,0,0
"BALE008","2018-01-03 01:00:00",0.51,0.51,0.51,66.98,66.98,66.98,0,0
"BALE008","2018-01-03 02:00:00",0.43,0.43,0.43,72.32,72.32,72.32,0,0
"BALE008","2018-01-03 03:00:00",-0.01,-0.01,-0.01,73.3,73.3,73.3,0,0
"BALE008","2018-01-03 04:00:00",-0.33,-0.33,-0.33,73.07,73.07,73.07,0,0
"BALE008","2018-01-03 05:00:00",0.92,0.92,0.92,73.93,73.93,73.93,0,0
"BALE008","2018-01-03 06:00:00",1.9,1.9,1.9,78.31,78.31,78.31,0,0
"BALE008","2018-01-03 07:00:00",1.38,1.38,1.38,76.87,76.87,76.87,0.008,0
"BALE008","2018-01-03 08:00:00",4.57,4.57,4.57,60.94,60.94,60.94,0.144,0
"BALE008","2018-01-03 09:00:00",9.55,9.55,9.55,47.41,47.41,47.41,0.373,0
"BALE008","2018-01-03 10:00:00",10.91,10.91,10.91,42.2,42.2,42.2,0.603,0
"BALE008","2018-01-03 11:00:00",11.69,11.69,11.69,38.84,38.84,38.84,0.783,0
"BALE008","2018-01-03 12:00:00",13.22,13.22,13.22,36.5,36.5,36.5,0.877,0
"BALE008","2018-01-03 13:00:00",13.37,13.37,13.37,38.98,38.98,38.98,0.707,0
"BALE008","2018-01-03 14:00:00",13.73,13.73,13.73,35.57,35.57,35.57,0.817,0
"BALE008","2018-01-03 15:00:00",13.87,13.87,13.87,35.75,35.75,35.75,0.673,0
"BALE008","2018-01-03 16:00:00",12.84,12.84,12.84,40.41,40.41,40.41,0.333,0
"BALE008","2018-01-03 17:00:00",12.13,12.13,12.13,41.82,41.82,41.82,0.179,0
"BALE008","2018-01-03 18:00:00",10.61,10.61,10.61,47.78,47.78,47.78,0.054,0
"BALE008","2018-01-03 19:00:00",7.46,7.46,7.46,56.77,56.77,56.77,0.002,0
"BALE008","2018-01-03 20:00:00",5.89,5.89,5.89,61.8,61.8,61.8,0,0
"BALE008","2018-01-03 21:00:00",4.6,4.6,4.6,63.44,63.44,63.44,0,0
"BALE008","2018-01-03 22:00:00",3.78,3.78,3.78,67.68,67.68,67.68,0,0
"BALE008","2018-01-03 23:00:00",3.36,3.36,3.36,69.12,69.12,69.12,0,0
"BALE008","2018-01-04 00:00:00",2.7,2.7,2.7,71.58,71.58,71.58,0,0
"BALE008","2018-01-04 01:00:00",1.21,1.21,1.21,81.69,81.69,81.69,0,0
"BALE008","2018-01-04 02:00:00",0.12,0.12,0.12,86.3,86.3,86.3,0,0
"BALE008","2018-01-04 03:00:00",0.31,0.31,0.31,79.48,79.48,79.48,0,0
"BALE008","2018-01-04 04:00:00",0.36,0.36,0.36,83.8,83.8,83.8,0,0
"BALE008","2018-01-04 05:00:00",0.27,0.27,0.27,84.9,84.9,84.9,0,0
