plot,general,region,lat,lon,elevation
BALE001 Tulu Dimtu,bale,BALE,6.82693,39.81871,4385.0
BALE002 Tuluka,bale,BALE,6.78945,39.77511,3848.0
BALE003 Angesso Station,bale,BALE,6.89642,39.90854,3949.0
BALE004 Magnete,bale,BALE,6.51622,39.74515,1599.0
BALE005 Meskel Darkina,bale,BALE,7.0586,39.62336,3724.0
BALE006 Rira Substation,bale,BALE,6.75912,39.72161,2803.0
BALE007 Dinsho Head Quarter,bale,BALE,7.09378,39.78966,3208.0
BALE008 Sodota,bale,BALE,6.99249,39.70171,3529.0
BALE009 EWCP Station,bale,BALE,6.84945,39.88197,4124.0
BALE010 Delo Mena,bale,BALE,6.41199,39.83328,1315.0
